date,nav_cents,cash_cents,status,sector_exposure,split,candidate_id
20251225,100000000,100000000,OK,{},validation,F0_BALANCED
20251226,100000000,100000000,OK,{},validation,F0_BALANCED
20251229,100000000,100000000,OK,{},validation,F0_BALANCED
20251230,100000000,100000000,OK,{},validation,F0_BALANCED
20251231,100000000,100000000,OK,{},validation,F0_BALANCED
20260101,100000000,100000000,OK,{},validation,F0_BALANCED
20260102,100000000,100000000,OK,{},validation,F0_BALANCED
20260105,100000000,100000000,OK,{},validation,F0_BALANCED
20260106,100000000,100000000,OK,{},validation,F0_BALANCED
20260107,100000000,100000000,OK,{},validation,F0_BALANCED
20260108,100000000,100000000,OK,{},validation,F0_BALANCED
20260109,100000000,100000000,OK,{},validation,F0_BALANCED
20260112,100000000,100000000,OK,{},validation,F0_BALANCED
20260113,100000000,100000000,OK,{},validation,F0_BALANCED
20260114,100000000,100000000,OK,{},validation,F0_BALANCED
20260115,100000000,100000000,OK,{},validation,F0_BALANCED
20260116,100000000,100000000,OK,{},validation,F0_BALANCED
20260119,100000000,100000000,OK,{},validation,F0_BALANCED
20260120,100000000,100000000,OK,{},validation,F0_BALANCED
20260121,100000000,100000000,OK,{},validation,F0_BALANCED
20260122,100000000,100000000,OK,{},validation,F0_BALANCED
20260123,100000000,100000000,OK,{},validation,F0_BALANCED
20260126,100000000,100000000,OK,{},validation,F0_BALANCED
20260127,100000000,100000000,OK,{},validation,F0_BALANCED
20260128,100000000,100000000,OK,{},validation,F0_BALANCED
20260129,100000000,100000000,OK,{},validation,F0_BALANCED
20260130,100000000,100000000,OK,{},validation,F0_BALANCED
20260202,100000000,100000000,OK,{},validation,F0_BALANCED
20260203,100000000,100000000,OK,{},validation,F0_BALANCED
20260204,100000000,100000000,OK,{},validation,F0_BALANCED
20260205,100000000,100000000,OK,{},validation,F0_BALANCED
20260206,100000000,100000000,OK,{},validation,F0_BALANCED
20260209,100000000,100000000,OK,{},validation,F0_BALANCED
20260210,100000000,100000000,OK,{},validation,F0_BALANCED
20260211,100000000,100000000,OK,{},validation,F0_BALANCED
20260212,100000000,100000000,OK,{},validation,F0_BALANCED
20260213,100000000,100000000,OK,{},validation,F0_BALANCED
20260216,100000000,100000000,OK,{},validation,F0_BALANCED
20260217,100000000,100000000,OK,{},validation,F0_BALANCED
20260218,100000000,100000000,OK,{},validation,F0_BALANCED
20260219,100000000,100000000,OK,{},validation,F0_BALANCED
20260220,100000000,100000000,OK,{},validation,F0_BALANCED
20260223,100000000,100000000,OK,{},validation,F0_BALANCED
20260224,100000000,100000000,OK,{},validation,F0_BALANCED
20260225,100000000,100000000,OK,{},validation,F0_BALANCED
20260226,100000000,100000000,OK,{},validation,F0_BALANCED
20260227,100000000,100000000,OK,{},validation,F0_BALANCED
20260302,100000000,100000000,OK,{},validation,F0_BALANCED
20260303,100000000,100000000,OK,{},validation,F0_BALANCED
20260304,100000000,100000000,OK,{},validation,F0_BALANCED
20260305,100000000,100000000,OK,{},validation,F0_BALANCED
20260306,100000000,100000000,OK,{},validation,F0_BALANCED
20260309,100000000,100000000,OK,{},validation,F0_BALANCED
20260310,100000000,100000000,OK,{},validation,F0_BALANCED
20260311,100000000,100000000,OK,{},validation,F0_BALANCED
20260312,100000000,100000000,OK,{},validation,F0_BALANCED
20260313,100000000,100000000,OK,{},validation,F0_BALANCED
20260316,100000000,100000000,OK,{},validation,F0_BALANCED
20260317,100000000,100000000,OK,{},validation,F0_BALANCED
20260318,100000000,100000000,OK,{},validation,F0_BALANCED
20260319,100000000,100000000,OK,{},validation,F0_BALANCED
