method,entity_type,horizon,metric,value,records,status
class_frequency_prior,stock,1,p_up,0.38756613756613756,1512,OK
class_frequency_prior,stock,1,p_flat,0.21296296296296297,1512,OK
class_frequency_prior,stock,1,p_down,0.3994708994708995,1512,OK
class_frequency_prior,stock,3,p_up,0.328042328042328,1512,OK
class_frequency_prior,stock,3,p_flat,0.3445767195767196,1512,OK
class_frequency_prior,stock,3,p_down,0.3273809523809524,1512,OK
class_frequency_prior,stock,5,p_up,0.29365079365079366,1512,OK
class_frequency_prior,stock,5,p_flat,0.41335978835978837,1512,OK
class_frequency_prior,stock,5,p_down,0.29298941798941797,1512,OK
class_frequency_prior,sector,1,p_up,0.40476190476190477,252,OK
class_frequency_prior,sector,1,p_flat,0.1865079365079365,252,OK
class_frequency_prior,sector,1,p_down,0.4087301587301587,252,OK
class_frequency_prior,sector,3,p_up,0.32936507936507936,252,OK
class_frequency_prior,sector,3,p_flat,0.32142857142857145,252,OK
class_frequency_prior,sector,3,p_down,0.3492063492063492,252,OK
class_frequency_prior,sector,5,p_up,0.30952380952380953,252,OK
class_frequency_prior,sector,5,p_flat,0.376984126984127,252,OK
class_frequency_prior,sector,5,p_down,0.3134920634920635,252,OK
jev,all,0,historical_probability_evaluation,,0,UNAVAILABLE_CACHED_HISTORY
