lot_id,code,status,entry_date,closed_at,realized_pnl_cents,candidate_id,split
6b161c05a9b6687911062b5bd2016afbaa5a73e8f8b8c3f68fa4306119060e2f,000001.SZ,CLOSED,20251226,20251230,155928,M0_MOMENTUM,validation
6f2d0b2b9351890e706ce2de5617a03672b5e429a49be9eda57edead4c55a587,688001.SH,CLOSED,20251226,20251230,-13933,M0_MOMENTUM,validation
00d541fcf33c6dec0c53639d6e1baf24c4ba91c5a644808e8a40c6991f8d3041,300001.SZ,CLOSED,20251231,20260102,-86050,M0_MOMENTUM,validation
24ce98b2038e45fb988f97e12db0dda298dfdd9f48669e0385e8083fd9286cf9,688001.SH,CLOSED,20251231,20260102,-299110,M0_MOMENTUM,validation
ac9b988f168923402c58615965bc86dae131a59606f84c71adf1c24e0a8bf3e0,000001.SZ,CLOSED,20251231,20260105,-110551,M0_MOMENTUM,validation
bc7044d1038a3a05890daf9723e43b6e594b14a1a63086cc1abb70bc178b7766,300001.SZ,CLOSED,20260101,20260105,-18713,M0_MOMENTUM,validation
e52e9bc9f98010ac0fedbdfd144e8e874da12118508d4b103e64991bc874e8c6,000002.SZ,CLOSED,20260101,20260106,-229903,M0_MOMENTUM,validation
377187d959bd742f98a9d4a37eb8439115cb0b57dcbd6438325a3164996e404e,000001.SZ,CLOSED,20260102,20260106,2748,M0_MOMENTUM,validation
79c352b4fc8bd928b9ec1d69a4856f742be0c9aed61a2142d526b657adbca1da,000002.SZ,CLOSED,20260108,20260113,-246043,M0_MOMENTUM,validation
dc763767ca505493413d4df71ca5f5e391336d2e60ec47a4761116f9133a5cae,600000.SH,CLOSED,20260108,20260112,144885,M0_MOMENTUM,validation
76d6d595d6eb65d23fd81d978ed0ee59b1dbee7db787a95bf3252a9191e4c17e,688001.SH,CLOSED,20260109,20260116,-140273,M0_MOMENTUM,validation
c87fa1354b97f259ebfaf51cb66d3a002d2787a4e81e90dbc66bbd84d7d7757f,000002.SZ,CLOSED,20260109,20260113,-69582,M0_MOMENTUM,validation
97f2e5252598b4ca9b557f76864c056a58a61d996676e5a61f4edb21275290df,000001.SZ,CLOSED,20260112,20260119,26578,M0_MOMENTUM,validation
900c4a77b3f10d44a3ec72ee1ae7407a03679515c6c1324d72bafeff8fe64ad9,600000.SH,CLOSED,20260113,20260116,-27155,M0_MOMENTUM,validation
881068ba6ed36ad0435e78c4ac8be10ddf29f615c711e40ecd99c430712b7169,300001.SZ,CLOSED,20260114,20260116,95174,M0_MOMENTUM,validation
93f93c93a429f97bb012c6676179f6b5bb86ab3c1553e824b61fa72ddf23748a,000001.SZ,CLOSED,20260114,20260119,79510,M0_MOMENTUM,validation
84847aab525eacb079d98d699605ec8fa3f0bd045cb2c77d2a5d5074fc6ae30d,000001.SZ,CLOSED,20260116,20260119,4334,M0_MOMENTUM,validation
0abed9d4077e72c209ff59ef3b9de8c0b6b5babf5e15f795badee244e2f242c2,600000.SH,CLOSED,20260120,20260122,-77380,M0_MOMENTUM,validation
6402a887379ea82866bcf283a4906df147d81f34c5f0666fa379a46922b394c9,000001.SZ,CLOSED,20260120,20260123,-166632,M0_MOMENTUM,validation
9c09d40c4a3bbe7cd9a2e639967c0f3e72494efceaa624da112ea931421c7571,300001.SZ,CLOSED,20260120,20260122,-126039,M0_MOMENTUM,validation
bcd6418d5b4fa1e68f7354bf112216376b2a3e0baf4e8ed079c0ee337c3563f3,601398.SH,CLOSED,20260120,20260122,100738,M0_MOMENTUM,validation
73b1efe67c6b2b7fcbd20863d5fa2c9f0a4bf08419ebcc962e5c9f778da365e5,601398.SH,CLOSED,20260123,20260129,-124330,M0_MOMENTUM,validation
09f95d14498aa05585ce8b32efa0ead80a24aa1066271d66d9d64c377c79f114,688001.SH,CLOSED,20260126,20260129,-14787,M0_MOMENTUM,validation
83ff7ff507a215052c2707928935ee73d523ead2824b1b1721c6906a329e4d93,601398.SH,CLOSED,20260126,20260129,3566,M0_MOMENTUM,validation
b57dca52768d4611413104db8678177fa17a363edfa42aad0ddb02a7fa31bfe2,000002.SZ,CLOSED,20260126,20260129,-16589,M0_MOMENTUM,validation
8cd6fcd75b5557d9df7efa6982a14e1edff071394238a00aa39b48495bb3933a,000001.SZ,CLOSED,20260127,20260130,-12755,M0_MOMENTUM,validation
8e351f7856e4726d1d3ddca8ae51f7f7fc8e0a7d941f72cb3220f192086f1934,688001.SH,CLOSED,20260130,20260203,312430,M0_MOMENTUM,validation
a72231538e4d5186375f701997fbe618929f8a2b6a756a6786f414a697f1b9cc,600000.SH,CLOSED,20260130,20260203,-125966,M0_MOMENTUM,validation
a14eac4f2ce9e2c5c6485f306d6fc6df4dc34bc9ba4692565c5d0ab07456fc0c,000001.SZ,CLOSED,20260205,20260209,-637,M0_MOMENTUM,validation
bd71e2a7bfc22d1f79bd387572e086d988194efcb752dab8ef51b674e1ad931e,688001.SH,CLOSED,20260205,20260209,-196894,M0_MOMENTUM,validation
c2552a01dbcb9937e4765f44ac52a88606d8efc6061a019f487dffb8f0ca0290,300001.SZ,CLOSED,20260205,20260212,181686,M0_MOMENTUM,validation
350a5ad7e301d1bb013c40237ea8473434efe45a72f4b432f2e0f4398b70f3a8,300001.SZ,CLOSED,20260209,20260216,-50159,M0_MOMENTUM,validation
b0db77d7469a5e56adcd700a371f716ff532cc6249c3dc9d3bd51691e83223aa,600000.SH,CLOSED,20260209,20260212,3540,M0_MOMENTUM,validation
07fac400067107137201a741d9b08f04d2f9a607cf59b06f79ef200e4087b056,300001.SZ,CLOSED,20260211,20260218,-3971,M0_MOMENTUM,validation
17a33fca4debe097e5395fb6d6642ebc0e0638e5c22a3058810f8c6fe1c217d8,000002.SZ,CLOSED,20260211,20260213,63588,M0_MOMENTUM,validation
cbfb561a358157e4fb27a98c54231fe400f17079d23151fe4e6e03b52ab9b49f,600000.SH,CLOSED,20260211,20260216,1007,M0_MOMENTUM,validation
5f39f0874322b57faeffe33e3383a7fc65f0b2be769f1218eeee2098f0139f4d,000001.SZ,CLOSED,20260213,20260217,78945,M0_MOMENTUM,validation
96ea5eb6793358a469ec002c5e08998d5ba0178294566ca04681f71c1c26d5b5,300001.SZ,CLOSED,20260213,20260218,-79964,M0_MOMENTUM,validation
b2482367d420769632fc25aab5c217a428743394613ed5b05013a7d26410c94b,000001.SZ,CLOSED,20260216,20260219,-12338,M0_MOMENTUM,validation
c94897d93ce6158dbcf1aed3989129a88c6a638131961112b249387d23050bb9,000002.SZ,CLOSED,20260216,20260218,-50133,M0_MOMENTUM,validation
ba6a82141d7a3b25d157c6b40c5405cb3724be2cf8b688787f2e261f16c1fb0f,000002.SZ,CLOSED,20260217,20260219,-36157,M0_MOMENTUM,validation
cf31fb5108ba7e0538a5d0e61ffd49b99a69d611830c9285d6d2f06e64d7ba0f,300001.SZ,CLOSED,20260217,20260219,144490,M0_MOMENTUM,validation
dbb741fefec18b093624f70d9bb63cc6ce40d046bfa5864e8db6333164c05734,000001.SZ,CLOSED,20260218,20260220,-121339,M0_MOMENTUM,validation
