route,candidate_id,split,records,dates,closed_trades,net_return,sharpe,max_drawdown,log_loss,brier_score,status,reason_code
formula,F0_BALANCED,validation,0,0,0,,,,,,NOT_EVALUATED_DATA_UNAVAILABLE,REQUIRES_504_MATURE_SIGNAL_DATES
formula,F1_TREND,validation,0,0,0,,,,,,NOT_EVALUATED_DATA_UNAVAILABLE,REQUIRES_504_MATURE_SIGNAL_DATES
formula,F2_STRUCTURE,validation,0,0,0,,,,,,NOT_EVALUATED_DATA_UNAVAILABLE,REQUIRES_504_MATURE_SIGNAL_DATES
jev,J0_EQUAL_POOL,validation,0,0,0,,,,,,UNAVAILABLE_CREDENTIALS,TYPESAFE_API_KEY_MISSING
jev,J1_WEIGHTED_POOL,validation,0,0,0,,,,,,UNAVAILABLE_CREDENTIALS,TYPESAFE_API_KEY_MISSING
